id,name,year,certificate,runtime(minutes),genre,ratings
tt0436992,Doctor Who,2005– ,U,45.0,"Adventure, Drama, Sci-Fi",8.6
tt10795658,Alice in Borderland,2020– ,18,50.0,"Action, Drama, Mystery",7.7
tt14452776,The Bear,2022– ,18,30.0,"Comedy, Drama",8.4
tt1632701,Suits,2011–2019,13+,44.0,"Comedy, Drama",8.5
tt5875444,Slow Horses,2022– ,A,,"Drama, Thriller",7.9
tt0098904,Seinfeld,1989–1998,13,22.0,Comedy,8.9
tt0306414,The Wire,2002–2008,15+,59.0,"Crime, Drama, Thriller",9.3
tt1888075,Death in Paradise,,,60.0,"Comedy, Crime, Drama",7.8
tt16030542,The Recruit,2022– ,UA 16+,55.0,"Action, Adventure, Crime",7.5
tt0118401,Midsomer Murders,1997– ,16,90.0,"Crime, Drama, Mystery",7.9
tt2861424,Rick and Morty,2013– ,16+,23.0,"Animation, Adventure, Comedy",9.1
tt1844624,American Horror Story,2011– ,A,60.0,"Drama, Horror, Sci-Fi",8.0
tt2085059,Black Mirror,2011–2019,A,60.0,"Drama, Mystery, Sci-Fi",8.8
tt1586680,Shameless,2011–2021,18+,46.0,"Comedy, Drama",8.6
tt0057729,The Addams Family,,,30.0,"Comedy, Family, Horror",8.0
tt12708542,Star Wars: The Bad Batch,2021– ,PG,,"Animation, Action, Adventure",7.8
tt7631058,The Lord of the Rings: The Rings of Power,2022– ,UA 16+,,"Action, Adventure, Drama",6.9
tt1266020,Parks and Recreation,2009–2015,13,22.0,Comedy,8.6
tt10323338,9-1-1: Lone Star,2020– ,12+,43.0,"Action, Drama, Thriller",7.1
tt17543896,Dear Edward,2023– ,A,50.0,Drama,7.4
tt6470478,The Good Doctor,2017– ,15+,41.0,Drama,8.1
tt3581920,The Last of Us,2023– ,UA 16+,50.0,"Action, Adventure, Drama",9.2
tt14269590,Poker Face,,,58.0,"Crime, Drama, Mystery",8.2
tt13406094,The White Lotus,2021–2023,18,60.0,"Comedy, Drama",7.9
tt13802576,Lockwood & Co,2023– ,UA 13+,44.0,"Action, Adventure, Drama",7.5
tt4236770,Yellowstone,2018–2023,18,60.0,"Drama, Western",8.7
tt15677150,Shrinking,2023– ,A,33.0,"Comedy, Drama",7.8
tt13443470,Wednesday,2022– ,UA 13+,45.0,"Comedy, Crime, Fantasy",8.2
tt15591076,That '90s Show,2023– ,UA 13+,30.0,"Comedy, Drama, Romance",6.4
tt14153790,Velma,,,,"Animation, Adventure, Comedy",1.4
tt1520211,The Walking Dead,2010–2022,18+,44.0,"Drama, Horror, Thriller",8.1
tt0944947,Game of Thrones,2011–2019,A,57.0,"Action, Adventure, Drama",9.2
tt10813940,Ginny & Georgia,2021– ,16,,"Comedy, Drama",7.5
tt3428912,Happy Valley,2014–2023,Not Rated,58.0,"Crime, Drama, Thriller",8.5
tt18335752,1923,,,60.0,"Drama, Western",8.6
tt0903747,Breaking Bad,2008–2013,18,49.0,"Crime, Drama, Thriller",9.5
tt0452046,Criminal Minds,,,42.0,"Crime, Drama, Mystery",8.1
